old_scheme_id,old_name,new_name
22289,Haldu Bagan PWSS,Mala Terang PWSS
22302,GARIGAON ALUTOLIA PWSS,Garigaon Alutolia PWSS
22333,PUKHURIPAR ( NIZ-HATICHUNG) PWSS,LAST GATE PWSS
22359,SANTIPUR PWSS,Majgaon PWSS
22370,SIMALUTOL PWSS,Gerjaipam Dakhinpar PWSS
22461,Kumbha Hanai Punjee PWSS,Nagar Engine Tukra PWSS
22462,Chanslu Punjee WSS,Muldam Punjee WSS
22463,Machkhal pt-V WSS,Gopendra Nagar PWSS
22576,Tataicherra Kumbha T.e. PWSS,Nagar 14 no. Nich Line
22577,Kashipur Das Tilla PWSS,NUTAN DOYAPUR CHALK WSS
22580,AKAI PUNJEE WSS,Uttar Digli WSS
22649,mission complex wss,Jirighat Old Colony wss
22656,Durganagar Barman Para PWSS,Nagar Basti Barmanpara PWSS
22664,Lailong Cherra WSS,Baroidisa Punjee WSS
22676,LADICHERRA TIN LINE WSS,Bahadurpur - II PWSS
22701,NUTAN DOYAPUR CHALK WSS,Kashipur Das Tilla PWSS
22727,aliacherra wss,Dewan Durga Mandap wss
22741,Diguncherra Grant WSS,Chandkira WSS
22758,Patradisha Kangki Engti PWSS,Patradisha Kangki Engti PWSS
22874,HILGRANT NO.2 PWSS,HILGRANT NO.2 NEW PWSS
22878,PUB SUBA & UTTAR SUBA OF  RANGIA NADIR PAM MPWSS,Rangia Nadir Pam (New) PWSS
22884,KAWAIMARIKARAGARI RESERVE BL -9 PWSS,KAWAIMARIKARAGARI RESERVE BL-9 PWSS
22888,DURAMANI NEW PWSS,Duramari NEW PWSS
22889,BAMUNDOKRA PWSS,Bamundongra (New) PWSS
22960,Kaimari Reserve Pt.III PWSS,Kaimari Reserve Pt.III PWSS
22985,CHAISHIMANA N.C. Pt.III PWSS,CHAISHIMANA N.C. Pt.II PWSS
23014,Balar Ghat PWSS,Balar Bari MPWSS
23044,Natuntilla PWSS,U/S Paschim Diska Nepali Tilla (Bagerkona) PWSS
23046,Natsul WSS,Luthathol Hmar Punjee WSS
23050,Lailong Cherra Khasia Punjee PWSS,Nagar Ting Tong PWSS
23076,Chotokumbi WSS,Christian Para Pwss
23083,Borakhai Andharaighat Part PWSS,ANDHIRIGHAT PWSS
23091,Badri wss,Lalong Office Line wss
23116,PUTIKHAL  WSS,PUTIKHAL NEW PWSS
23117,Pashi Para PWSS,Thaligram Pashi Para PWSS
23147,Kumbha Haibong Punjee PWSS,Kumbha Hmar Punjee PWSS
23186,BONGRAM PWSS,BONGRAM NEW PWSS
