new_name,old_scheme_id
Sam Gaon PWSS,25642
Sar Rongpi PWSS,26471
Sar-Et Terang PWSS,26147
Sarlok Pathar PWSS,26445
Sarthe Rongchehon PWSS,26474
Sikari Engti PWSS,26473
Tilku Basti PWSS,22288
Doidak No.2 PWSS,26469
Bahar Rongpi PWSS,26470
Sarthe Enghi Gaon PWSS,26535
JENKHA NEPALI GAON PWSS,20860
Longboi Boro PWSS,20934
Lang Long Dang PWSS,20805
Duri Killing Rongkimi PWSS,20413
Kholalapheng Part A PWSS,20423
Kholalapheng Part B PWSS,20696
Jirikinding Terang Gaon PWSS,20677
Lummujen PWSS,20882
Koma Anglong PWSS,20864
"Kawaimari Zone II,Rongjamir PWSS",20981
Notun Borghat 1 PWSS,20918
Boroputni PWSS,24445
Bubrighat II PWSS,28668
Gamarital PWSS,28536
Madhya Mohakal II PWSS,28367
Bhutucherra I PWSS,28595
Kangter PWSS,28571
Brahmansashan PWSS,28443
Sagarpaar PWSS,30894
Khararpaar PWSS,28435
Khagail Gandhirpaar PWSS,28438
South Kanakpur PWSS,30872
Moirangaon Katabari PWSS,28588
Deotali II PWSS,28593
Barpurahuria II PWSS,28461
Manashyapur (Barmanbasti) PWSS,29518
Lotarkhal II PWSS,28423
Shikarpur PWSS,30900
Kakura Punjee,28456
chuatikor,28591
Binopur-samserpur pwss,30436
Harischandrapur-II pwss,30266
ANDHIRIGHAT PWSS,23083
DIDARKUSH PT-1(MANIPURI BASTI) PWSS,23192
PUTIKHAL NEW PWSS,23116
BONGRAM NEW PWSS,23186
SOUTH JAMALPUR NEW PWSS,23204
Bahadurpur - II PWSS,22676
NUTAN DOYAPUR CHALK WSS,22577
Kashipur Das Tilla PWSS,22701
Jirighat Old Colony wss,22649
Lalong Office Line wss,23091
Dewan Durga Mandap wss,22727
Borthal Kalabil & Thailu Cha PWSS,18775
U/S Paschim Diska Nepali Tilla (Bagerkona) PWSS,23044
Harinagar Bazar Tilla PWSS,21763
Nagar Basti Barmanpara PWSS,22656
Gopendra Nagar PWSS,22463
Kumbha Hmar Punjee PWSS,23147
Uttar Digli WSS,22580
Chandkira WSS,22741
Nagar Engine Tukra PWSS,22461
Baroidisa Punjee WSS,22664
Muldam Punjee WSS,22462
Nagar Ting Tong PWSS,23050
Nagar 14 no. Nich Line,22576
Luthathol Hmar Punjee WSS,23046
Christian Para Pwss,23076
Tupidhar PWSS,21764
Thaligram Pashi Para PWSS,23117
"Nayapur, Laosadisa & Raijaodisa PWSS",30009
"Digandu-II, Digandu- III PWSS, Digandu-IV & Digandu-V PWSS",32005
"Boro Langherang, Langdisa & Dikarbi PWSS",32007
