name,total_cost,central_share,state_share,planned_fhtc,parent_smtid,old_scheme_id,IMIS id
Badripar Pt.IV PWSS,4127000,3528600,392100,17,2895,30704,
Badripar Pt.VI P.W.S.Scheme,3100000,2651000,295000,205,1337,31882,8194559
Badripar PWSS,5006000,4280000,476000,115,6974,32113,
BADULIPAR BAGICHA PWSS,184300,165900,18400,424,582,28273,
Badulipar PWSS,2080500,1872500,208100,175,7663,33067,
BADULIPUKHURI MAJ GAON PWSS,3376300,3038700,337600,332,4184,29697,8202316
Bag Bahar PWSS,3242000,2772000,308000,550,6934,31825,
Bagadahar PWSS,1273000,1088400,120900,279,7147,31207,8228258
BAGALIPARA PWSS,7017100,6315400,701700,369,2697,31907,8213479
Bagarpar P.W.S.Scheme,3025000,2586400,287400,320,1335,30052,8190100
BAGARSANGAN PWSS,3344000,3010000,334000,160,8574,29328,
BAGDOBA PWSS,4078000,3671000,407000,229,655,31294,8171388
Bagerkuna Barman Basti PWSS,3745000,3202000,355800,227,7031,32922,
Baghar Gaon PWSS,4969000,4248500,472100,323,124,29366,8145640
Baghar Gaon PWSS,4720600,4248500,472100,323,29366,30959,
BAGHARA PWSS,5061600,4555400,506200,306,736,29891,8220892
BAGHJAP PWSS,1235000,1111500,123500,213,8572,28886,6230863
BAGHMARA (NEW) PWSS,4788000,4536000,504000,287,4847,19645,8226666
BAGHMARA PWSS ,9751000,8775900,975100,224,781,32432,8187212
BAGHMORA ZONE,8587000,7341900,815800,730,4338,19908,5435516
Bagkhal FV P.W.S.Scheme,1100000,941000,105000,343,1325,32974,
BAGMARA (OLD) PWSS,4166700,3750000,416700,97,4846,23354,8221539
Bagobahar Basti PWSS,604000,516400,57400,542,6935,31553,
BAGORI PWSS,874000,786600,87400,551,4263,31010,
BAGTA PWSS,3325000,2992500,332500,788,1674,32066,
Bagulamari PWSS,10569000,9512000,1057000,187,3481,30011,8237554
Bahadurpur (Brichingcha),3700000,3164000,352000,213,1179,32644,
BAHALPUR,5478000,4684000,521000,30,663,32447,8134513
BAHPHALLA PWSS,4567600,4110800,456800,280,4597,28288,8220457
BAHUMARI PWSS (Revised),1367000,1168800,129900,100,3660,31902,
Baidya Chuba,7812000,6679000,742000,220,1800,30245,8215831
BAINYAGURI PWSS,970000,830000,92000,126,7337,30590,3371325
BAIRALI PWSS,970000,829000,92000,143,1620,31520,8209496
BAITAKHAL PWSS,3469400,3122500,346900,181,99,31778,
Bakaitary PWSS,3713000,3341000,372000,100,3521,29517,8205395
Bakarapara PWSS (REVISED),6027800,5425000,602800,157,5467,31897,
BAKARSHAL PWSS,3735000,3193000,355000,179,102,22078,8196685
BAKARSHAL-III PWSS,4222000,3610000,401000,229,104,22082,8189225
Bakelipara pwss (revised),4750000,4275000,475000,73,6239,30385,
Bakhrapara PWSS,3228000,2760000,306000,97,3474,32443,8203835
Bakmara PWSS,3839000,3455000,384000,52,3356,31465,
BAKUAJARI PWSS ,399000,341100,37900,351,4006,30866,6193827
BAKUPUKHURI PWSS,3593200,3233900,359300,258,1933,32444,
BALADMARI CHAR PT-1 PWSS,3712000,3341000,371000,109,647,31607,8237331
BALAGAON PWSS,1111000,949900,105600,285,2388,29867,8205333
Balaibil PWSS (revised),893000,803700,89300,119,5570,28918,8234365
Balapara,1235000,1111500,123500,140,4388,28608,
BALAPARA PWSS,1698000,1452000,161000,365,1998,31589,
Balasara PWSS,4219000,3607000,401000,248,3483,32608,8237467
Balasidhi( Revised),4370000,3933000,437000,235,6238,29448,
BALAZAN II,3369000,2880000,320000,0,645,31182,8134521
BALI CHAPORI Solar Powered Mini PWSS,424000,362500,40300,8,6833,31239,
Baliachapori,3257600,2931800,325800,140,738,29508,8176817
BALICHAPORI NEW ,1567000,1339800,148900,176,3797,29818,7828837
