name,total_cost,central_share,state_share,planned_fhtc,parent_smtid,old_scheme_id,IMIS id
Norsingpur P.W.S.Scheme,4687700,4007900,445300,185,1748,30939,8182475
Norsingpur Pt.III P.W.S.Scheme,1000000,855000,95000,303,1741,29773,8198276
Norsingpur Pt.IV & VI P.W.S.Scheme,656000,560900,62300,298,1719,31361,
Norsingpur Pt.V P.W.S.Scheme,4400000,3762000,418000,298,1758,31680,
NORTH KAMNDANGA PWSS,4442200,3998000,444200,110,4832,29323,
North Punimukh W.S.Scheme,4850000,4147000,461000,350,189,32324,
NOWAPARA (Revised),5462500,4916300,546300,265,7535,29629,
Nowaraj P.W.S.Scheme,4110000,3517400,390000,247,1343,32782,
Nowarbond Grant PWSS,3242000,2771900,308000,291,7345,30325,8227016
Nowboisa Gaon PWSS,3155900,2840300,315600,230,4308,30800,8265809
NOYACHARA PWSS,4703000,4021000,447000,0,689,32473,
NURKHA PWSS,6179000,5561000,618000,528,438,27330,8200171
NUTAN BAZAR WSS,3082000,2774000,308000,184,6509,31753,
Nutan Bidrohipar,4103000,3508000,390000,403,7152,31852,
Nutan Dayapur PWSS,500000,427500,47500,553,7282,31576,
Nutan Kanchanpur P.W.S.Scheme,500000,427500,47500,182,1326,31386,
NUTAN LINE WSS,3257000,2931000,326000,198,8770,32141,7929205
Nutan Ramnagar Pt. IV & VI PWSS,4400000,3762000,418000,436,7100,32409,
Nutan Ramnagar Pt.I PWSS,4704000,4021900,468800,328,2844,30645,6129696
Nutan Ramnagar PWSS,4103000,3508100,389800,356,7099,30644,8228050
NUTUN BASTI PWSS,808000,728000,81000,136,8496,31836,
OATING,4635000,4172000,464000,0,121,30687,8182078
Okchek Gaon,5822000,4978000,553000,200,1804,30297,8185768
Okchek Hatibandha,4443000,3799000,422000,232,1805,30236,
Okonimuria Kachari PWSS,3325000,2993000,333000,240,5206,31132,8222274
Oksek Trishguri PWSS,1010000,864000,95000,102,4612,26964,8217457
OUDUBI PWSS,4029000,3445000,382800,59,1306,30988,8165089
Ouguri PWSS,1578000,1349100,149000,0,989,30439,8176579
OXEGURI PWSS,692000,592000,66000,108,9047,31871,
OXIGURI PWSS,4622700,4160400,462300,209,5744,23577,8226674
OXIGURI PWSS,1953000,1670000,186000,245,1743,32946,
OXIGURI-II PWSS,3858900,3655800,406200,372,5875,19640,8234078
P/GALAPANG PWSS,618500,556600,61800,23,3779,31452,
Pabda PWSS,2442000,2088000,234000,134,6904,32789,
PABITORA PWSS,570000,513000,57000,187,7229,32356,
PACHANIA PWSS,2504000,2140900,237900,7,1309,31876,
PACHANIAPARA PWSS (Revised),2388300,2149000,238000,238,2371,29766,8164008
Pachantola PWSS (REVISED),3610000,3249000,361000,177,6231,29957,8231469
PACHARIA DALAR PATHAR PWSS (revised),2660000,2394000,266000,56,2246,28878,
PACHARIA NO. 1 PWSS (Revised),1710000,1539000,171000,197,5317,28875,
Pachgori PWSS,800000,684000,76000,288,6932,30767,8227141
PACHIM BHALUKMARI PWSS,5691000,4866000,540000,50,7794,30315,8237412
PACHIM BILASHPUR PWSS,3268000,2941200,326800,141,5799,23573,8202687
PACHIM HARIBHANGA PWSS,1485800,1337200,148600,105,1363,32270,
PACHIM JAMUGURI PWSS,2200000,1881000,209000,243,3106,31331,8231965
PACHIM KANURI-I PWSS,1222000,1045000,116000,0,699,32260,8135726
PACHIM MAKRA PWSS,3648000,3283200,364800,122,5745,30981,8235070
Pachim Panisaki WSS,6444000,5510000,612000,0,5583,32353,
PACHIM ROUMARI PWSS (Revised),1032700,929400,103300,258,1396,28870,
Pachim Samorali,6616000,5656000,629000,273,1806,29376,8185806
PACHONIA KHARAGAON PWSS,2848000,2435000,270600,0,3012,32229,
PADMABIL PWSS,356000,304000,34000,125,6888,33039,
PADMAPUKHURI PWSS,303000,259000,29000,529,6878,33040,
PADMARPAR PWSS,6464000,5817000,646000,472,440,31485,8201549
PADUM PUKHURI PWSS,1007000,906300,100700,418,5234,31763,
Padumoni PWSS,4583000,4124000,458000,49,4800,29577,8223409
PAGLIJHORA PWSS,102000,87000,10000,183,7323,33003,
PAHALA SIMALUBARI PWSS,2273000,2045700,227300,357,1479,31703,8158744
PAHARPARA pwss (REVISED),1112000,1000000,111000,247,2959,32449,
PAICHARA PWSS,1599000,1367100,151900,483,3750,30867,5676775
PAIKAN PWSS,815000,697000,77000,202,267,31904,8160423
PAIKARKUCHI PWSS,4985000,4262200,473600,222,4124,32171,8239296
Pailapool PWSS,650000,555800,61800,730,7230,32986,
Paitakhat,7352000,6286000,698000,0,1462,32570,
PAKHIAJHAR PWSS (REVISED),3861500,3301600,366800,190,3833,23411,8184246
PAKRIGURI PWSS,1100000,941000,105000,206,624,32957,
PAKRIGURI-I PWSS,4010000,3609000,401000,88,5849,23580,
PALAPARA PWSS,7437600,6731000,706600,180,11845,32290,
Pallorbond Grant PWSS,1529000,1307000,145000,162,6905,32790,
Pallorbond P.W.S.Scheme,4174000,3568800,396500,210,1225,31603,
Paloi P.W.S.Scheme,1100000,941000,105000,285,1768,32784,
PALOICHERRA WSS,3069000,2763000,307000,212,6791,31313,8223782
Palonghat P.W.S.Scheme,3974000,3398000,378000,210,1477,31973,
PAMOHI PWSS (revised),8075000,7268000,808000,80,2373,29897,
PANBARI PWSS,1134000,970000,108000,242,633,31254,8316832
PANBARI PWSS,968200,871000,97000,361,2319,31443,8238992
PANBARI-II PWSS,715000,611000,68000,68,7441,31657,8230304
PANBARI-NARAYANPUR PWSS,2150000,1838000,204000,109,1642,32914,
PANCHABORI PWSS,7078500,6370600,707800,257,1979,32225,
PANCHDALI PWSS,3040000,2736000,304000,147,8604,29332,
PANCHGRAM BAZAR WSS,1927000,1734000,193000,61,4304,30213,8199111
Panditor Pam PWSS (REVISED),1165700,1049100,116600,288,5605,31121,
PANDOBA PWSS,3427000,2930000,326000,120,71,32646,8160000
PANDULA PWSS,2632000,2250400,250000,161,3687,30858,8209766
PANERAGARH PWSS,6732000,6059000,673000,392,441,31133,8201265
Paneri Ravapara (revised),2570000,2310000,260000,155,5523,30248,
Pangkial PWSS,1377500,1239700,137700,369,6609,28029,
Pangram P.W.S.Scheme,1700000,1453500,161500,203,1287,30088,8180765
Pangram Pt.II (Arsenic) PWSS,1000000,855000,95000,138,6903,31574,
Pangram Pt.III P.W.S.Scheme,5000000,4275000,475000,203,1285,32780,
Panibhora Bazar PWSS,830000,710000,79000,303,2826,32759,
Panibhora W.S.Scheme,3909000,3342000,371000,194,539,31597,
PANIJANI PWSS,1825000,1560000,173000,508,7528,32983,
Panikora PWSS,2679900,2411900,268000,236,5245,28471,
PANIMAZKUCHI PWSS,6394000,5466900,607400,272,4023,30879,6193662
Panisagar P.W.S.Scheme,1430000,1223000,136000,230,1457,32992,
PANITAMA NO.1 PWSS,2836000,2424800,269400,227,11805,24005,
Panjan PWSS,1741400,1567200,174100,222,5169,28938,8221224
Pankumar Dimasa PWSS,3000000,2565000,285000,0,2091,30748,8218905
Parakuchi (Revised),3004000,2736000,304000,200,6128,29555,8221431
PARAMAIBHETI PWSS,3200000,2736000,304000,199,3090,31808,
PARBATIPUR PWSS ,1601700,1442000,160000,75,4715,31148,6690001
PARIJAT PWSS,4571600,4114500,457200,229,6141,31975,
PARLLY PWSS(Revised),2850000,2565000,285000,142,2248,28862,
Parugaon PWSS,1425000,1282000,142000,330,5331,29444,6347700
PASSIGAON PWSS (REVISED),3349000,2863400,318200,50,3803,32753,8161801
PASUARKHAL PT II PWSS,4891000,4181000,465000,0,695,31449,8152205
PATAKATA-GAMBARIBIL PWSS,775000,663000,74000,109,7442,32973,
Patani PWSS (Revised),2850000,2565000,285000,364,5332,28856,
PATGAON KHALBARI (revised),641000,577000,64000,50,5333,30272,
PATHALIAL PWSS,5687700,5118900,568800,236,4550,32902,8224896
Pathalipara PWSS (Revised),3515000,3163500,351500,157,5338,28851,
Patherakandi PWSS,6119000,5507100,611900,185,3601,31664,8228801
PATHERKANDI W.S.S.,6019200,5417300,601900,804,442,32386,
PATHERKANDI-II PWSS,3010000,2709000,301000,155,443,29949,8200178
PATIA GAON PWSS,4163600,3747200,416400,242,614,31983,
Patia Pathar PWSS,6323000,5406000,601000,178,4923,30306,8202595
PATIA PATHER PWSS,3371900,3034700,337200,277,1955,30712,8176971
Patiala W.S.S.,4295900,3866300,429600,273,3602,31255,8238586
PATIALPARA -AHMEDPUR PWSS,2099000,1795000,199000,335,8925,30853,4652278
PATORIKHAT PWSS (revised),1805000,1624500,180500,25,525,29875,
PATPARA PWSS,3744000,3370000,374000,189,682,31274,
PATRABORI PWSS,6578500,5920700,657900,255,2032,31961,
Patrobori PWSS ,5236400,4712800,523600,210,2715,30742,8205893
PECHALA PWSS,3767700,3390900,376800,239,3603,31824,
PERIBASTI WSS,3257000,2931000,326000,233,6775,29385,8224141
PERUA W.S.S.,4569500,4112500,457000,277,447,30716,8201975
PHATAKALIA PWSS,665000,598500,66500,384,9618,33024,
PHELANGPI PWSS,1783000,1604000,178000,204,6246,29959,8221035
PHILLOBARI 10 PWSS,1269200,1142000,127000,189,5104,31142,8236861
PHILLOBARI NO 18 PWSS,6159800,5544000,616000,129,9033,31144,8236888
PHILLOBARI PWSS,7183700,6465000,718000,64,1991,31143,8176975
PHILOBARI NO 2 PWSS,1018400,917000,102000,284,9034,31448,8236889
PHONGJONGRE PWSS,3460000,3215000,357000,118,6275,30609,8221227
Pipla Ulua Panbari PWSS,3115000,2803500,311500,103,5344,31416,3360991
Plmplamlangso PWSS,386100,347500,38600,76,18235,27685,30050119
Podumoni No.2 PWSS,2335500,2102000,234000,135,5170,31285,8221196
Podumpukhuri PWSS,1263500,1137200,126400,76,5156,29580,8221335
POHUKHUWA DOLONI PWSS,3508000,3157200,350800,209,1009,31654,8182211
Pohumora Gossaibari,3804000,3252400,361400,206,103,29654,8200116
POILA PWSS,1608000,1374800,152800,250,3718,31788,8236267
POKALAGI - V PWSS,2272000,1943000,215000,0,704,31064,8152715
POKALAGI PWSS,2474000,2115000,235000,0,1737,29247,8205317
POLASGURI PWSS,656000,561000,62000,233,7635,31587,
POLASHGURI PWSS,1135000,970000,108000,324,1509,32949,
Poli Bhongo PWSS (Revised),1829000,1646000,183000,150,5342,30463,
Pongwe Kro PWSS,3450000,2949800,327800,0,2063,31722,8218906
Ponka PWSS,1377500,1239800,137800,241,5248,32658,
Porbot Dikhongma PWSS,691600,622400,69200,35,6378,31733,8215324
POWAI PWSS,1095400,985800,109500,110,5258,31979,
PRILOO PWSS,1631000,1467900,163100,115,6184,31083,8221024
PROMODENAGAR W.S.S.,3868400,3481600,386800,221,449,27674,8189119
PROVIDING DRINKING WATER FACILITY AT BALITARA G.P. (SAGY),12371900,11134700,1237200,250,4025,32467,
Pub Bandermela,8591000,7345000,816000,250,1798,30238,8185532
PUB DADARA PWSS (Revised),475000,427500,47500,85,5343,28842,6581338
PUB JUGIJAN PWSS,1700000,1454000,161000,482,4347,30218,7516753
PUB KHAMARGAON PWSS,4494500,4045000,449400,106,5800,31109,8234160
Pub Laluk PWSS,1197500,1077300,63000,186,4561,32691,
Pub Madhya Samorali,3106000,2656000,295000,209,9076,30293,8236782
Pub Saidoria PWSS,2466200,2219600,246600,316,3145,31850,3295888
PUBPAR JATIA BHANGRA NO.1 PWSS,2753100,2477800,275300,155,12095,29626,
PUKHURIPAR NO. 1 PWSS (Revised),3183000,2864000,318000,300,5346,30481,
Punicherra PWSS,834000,713000,79000,158,2820,32758,
Punimukh W.S.Scheme,3874000,3312000,368000,197,537,32241,
PUNIONI PWSS (Revised),499000,426600,47400,0,296,30621,8153766
Purabthal P.W.S.Scheme,4156000,3553400,394800,203,1767,31593,
Purajungle PWSS,1235000,1111500,123500,120,5219,28350,
Puran Bazar (Swajaldhara) P.W.S.Scheme,4260000,3642300,404700,285,207,23336,8175464
PURAN BHAWANIPUR PWSS,1459200,1313300,145900,431,1513,31706,
PURANA HAJONG PWSS,618500,556600,61800,38,4199,31632,
PURANA KAKI PWSS,898000,768000,85000,110,4259,30221,
PURANA LINE PWSS,6789700,6110700,679000,94,14969,26351,30199487
PURANBARI PWSS,1360400,1224400,136000,131,780,30630,8187369
PURANI ALIMUR PWSS (Revised),853000,729300,81000,72,3634,30907,8192631
PURANPARA PWSS (REVISED),5320000,4788000,532000,144,581,31155,8182595
PURBA ACHIRGHAT PWSS,3280400,2952300,328000,220,8576,32582,
PURBA LOWAIRPOA PWSS,300000,270000,30000,810,450,30732,8195465
PURBA LUASUR PWSS,1423000,1280000,142300,527,1576,31724,
Purbo Sonapur PWSS,4891000,4402000,489000,310,763,32094,8183620
PURONI BONGAIGAON PWSS,3556000,3040400,337800,94,1312,31783,
Puthicherra T.E PWSS,650000,556000,62000,414,6906,32791,
Puthimari Medhikuchi PWSS,915800,824200,91600,402,1130,23389,8153797
Putikhal PWSS,3404000,2910400,323400,330,4920,31596,
QUINTENPUR PWSS,933000,798000,89000,155,1281,32926,
Rabidas Para PWSS,800000,684000,76000,128,7047,32792,
Rabidaspara PWSS,700000,598500,66500,253,6909,32989,
Radhanagar PWSS,7717000,6598000,733000,238,4489,30302,8202509
RAIDANG BONGALI PWSS ,482600,434300,48300,55,4722,32521,
Raikata,6832000,5841000,649000,70,1778,29581,8174017
RAIKUMBARI PWSS,1075000,919000,102000,133,1651,32933,
RAIMONA PWSS,2418000,2067400,229700,220,2386,29589,8205296
RAIOTI GAON Solar Powered Mini PWSS,115000,98300,10900,14,6795,24022,
RAIPARA PWSS (revised),3325000,2992500,332500,196,2795,31097,
Raipur PWSS,2563100,2306800,256300,154,5439,27658,7828859
RAISEN PWSS,862000,775800,86200,156,5706,29710,8219769
RAJABARI PWSS,3856100,3470400,385600,96,4553,29796,8236156
RAJABARI PWSS,3100000,2650500,294500,190,3103,30641,8194894
RAJABHETA PWSS,2969700,2672700,297000,236,3,32030,
RAJADABRI PWSS,650000,556000,62000,252,1612,32916,
RAJAKPUR BAGAN BOSTI WSS,5268000,4741000,527000,191,4483,29595,8225962
RAJAKUCHI(OLD)PWSS,5437800,4894000,543800,133,2144,32625,
RAJAPARA PWSS,4250300,3825300,425000,146,5746,29460,8233964
RAJAPARA PWSS,505000,432000,48000,225,9040,32186,
RAJAPARA PWSS,3844000,3459000,385000,162,653,29416,8160827
Rajapukhuri No.1 PWSS,2660000,2394000,266000,205,5149,29608,
Rajapukhuri No.II PWSS,1085900,977300,108600,379,7107,29606,
Rajbari PWSS,2888600,2469800,274400,195,3904,30996,4611017
Rajbari PWSS,550000,446700,49600,74,3858,32406,8214512
Rajgarh Basti WSS,5606000,4793000,533000,0,5562,32527,
RAJGARH CHARALI PWSS,4418000,3777000,420000,170,8772,31473,
Rajgarh PWSS,2000000,1710000,190000,224,7160,30814,8228328
RAJGARH TANGAPATHER PWSS,7577200,6819500,757700,290,10708,28811,
Rajgobindapur PWSS,1000000,855000,95000,260,7166,31055,8228340
RAJKHOWA GAON PWSS,3932500,3539000,393000,221,2321,31435,8176988
Rajnagar PWSS,5122000,4379300,486600,300,2865,31079,6129744
RAJOI SUNDARPUR PWSS,4259000,3641400,404600,0,509,31260,8155447
RAKESHNAGAR PWSS,3470400,3123300,347000,444,451,31217,8153095
Rakhaldubi PWSS,3561000,3045000,338000,128,3439,32612,8203614
Rakhaltilla P.W.S.Scheme,1130000,966100,107300,207,815,31881,8182716
Rakshasini PWSS,4763000,4073000,452000,300,3541,32482,8205382
RAM NAGAR NO 2 PWSS,2207000,1887000,210000,461,4354,29678,6520156
RAMDEO PWSS,1717000,1468000,163000,326,6714,33056,
RAMDHAN PWSS,683000,615000,68000,126,7619,32362,
RAMDIA PWSS (revised),2850000,2565000,285000,611,1632,30768,
Rammanikpur Chitaldhar PWSS,830000,709700,78900,156,7062,29398,8226983
Rammanikpur PWSS,830000,710000,79000,195,4871,32304,
RAMNAGAR PWSS,5436000,4648000,516000,354,452,26924,8202007
Ramprasadpur PWSS,4260000,3642000,405000,375,6930,31598,
RAMPUR PWSS,8566000,7324000,814000,250,1681,30243,8161003
Rampur PWSS,3782000,3233000,359000,149,3403,31697,8203855
RAMPUR SATRA PWSS,1692000,1446700,161000,378,3083,30614,8224219
RAMPURPAM PWSS,3800000,3249000,361000,153,3104,30797,8194895
RAMRAIKUTI PT II PWSS,1378000,1178000,131000,0,5327,31223,8164090
RANCHAIDHAM GOYBARI PWSS,3412400,3071200,341200,137,5747,23579,
Ranga Chahi ,1709000,1461200,162300,258,5284,29700,
RANGACHAKUWA PWSS (Retro Revised),753700,644400,71600,0,3817,28928,8161776
RANGADARIA PWSS,5681800,5113600,568200,400,2010,29800,8221202
RANGAGARA T.E. PWSS,2089600,1880600,209000,79,18349,31846,
Rangagorah PWSS,2538400,2284600,253800,338,6996,33075,
Rangajan PWSS,5513800,4962400,551400,108,5242,32604,
RANGAJAN PWSS,3167000,2708000,301000,180,683,31725,8160387
RANGALOO T.E. PWSS,2169100,1952300,216900,85,18347,29393,30027264
RANGAMATI  PWSS(Revised),1425000,1282500,142500,80,5374,28839,
RANGAMATI PWSS,2690000,2300000,256000,192,9067,33015,
Rangapara PWSS_(B),1179000,1008000,112000,84,26364,31883,
Rangapather WSS,4416000,3776000,420000,243,7015,32514,
RANGAUTI -I WSS,5510000,4959000,551000,309,7680,31372,5444083
Rangeswari PWSS (Revised),4276000,3848000,428000,259,4611,32606,
Rangirghat Pt.III PWSS,4400000,3762000,418000,388,7165,30967,8228331
RANGJULI PWSS,6649000,5984000,665000,441,686,31292,8197059
RANGMAHAL PWSS (Revised),32759000,29483000,3276000,883,5501,29383,8235315
RANGPURIA PWSS,996000,896000,100000,100,7643,30610,8230171
RANGSHAPUR PWSS,376000,321000,36000,147,1264,31659,
RANI SAGY (revised),9500000,8550000,950000,2349,5385,19566,
RANIGANJ,5282000,4516000,502000,0,700,31963,8160779
RANIPUKHURI,2663000,2276800,266300,157,186,28479,
Ranipukhuri PWSS,4251000,3635000,404000,125,4677,26959,
RATANPUR 2 PWSS,6999700,6299700,700000,138,789,32539,5676470
RATANPUR PWSS,750000,641300,71300,156,787,30859,8187370
RATANPURIA PWSS,854900,810000,90000,345,5148,31514,30253385
RAVAPARA PWSS,5280100,4752100,528000,206,4828,23570,8226675
RAWMARI PWSS,3171000,2711000,301000,89,687,32265,8160910
Razabazar PWSS (Revised),3278000,2950000,328000,315,4620,31918,
RECLAMATION C BLOCK,5200000,4446000,494000,344,3783,31175,8202654
Rengti P.W.S.Scheme,1000000,855000,95000,329,1432,32176,
Rensing Rongpi PWSS,5200000,4446000,494000,74,2644,30693,8228202
Renthema PWSS,3504000,3254000,362000,315,1254,30620,8175233
RETFOFITTING OF DIGOR SRIKONA W/S/S,7201200,6481100,720100,234,1548,23464,8156436
RETFOFITTING OF HARINAGAR W/S/S,3667000,3300300,366700,1183,1621,23362,
RETFOFITTING OF KALACHANDBARI W/S/S ,7533500,6780200,753400,590,1654,23368,8154132
RETROFFITING OF SARASPUR,4650300,4185200,465000,195,1636,23417,8165756
RETROFFITTING OF PELADAHAR W/S/S,5700000,5130000,570000,288,1566,23405,
RETROFICATION OF BILLESWAR PT-II PWSS,2931000,2506000,278400,0,9299,28286,
RETROFICATION OF LOWTHARY PWSS,2650000,2265800,251800,0,9301,29753,5615609
RETROFICATION OF PAHLONGPARA PWSS,2190000,1872500,208100,0,9300,29382,5633530
RETROFICATION OF SANDHELI MILAN PWSS,456000,389900,43300,0,9302,28281,30026024
RETROFITING OF JAGADISHPUR W/S/S,3803000,3422500,380300,206,1650,23373,8184550
RETROFITTING  OF CHARIAPAR PWSS,1755000,1500500,166700,0,2115,29319,
RETROFITTING  OF GORERVITOR PT-II W/S/S,5601200,5041100,560100,208,7427,22554,
Retrofitting Kacharigaon No.1 PWSS,4283600,3855200,428400,291,8143,27120,8232668
Retrofitting of  BARTOLA PWSS,1470000,1256900,139700,60,2075,28135,8201790
Retrofitting of  Dighaliati PWSS,4494000,4052700,450300,319,6226,32905,
Retrofitting of  GHORATHAL PWSS,4357000,3725200,413900,0,2119,28151,
Retrofitting of  Kotayani PWSS,7117400,6405700,711700,908,6604,32850,
RETROFITTING OF  MUDAIBARI PWSS,2933600,2640200,293400,115,2342,32056,
RETROFITTING OF 10 NO LINE WSS,3819300,3437400,381900,242,7754,32244,
RETROFITTING OF 10 NO. BASTI W/S/SCHEME,1083000,974700,108300,156,1418,27186,
RETROFITTING OF 12 NO. BASTI W/S/S,5491000,4941900,549100,344,5701,22524,8220721
Retrofitting of 2 No Jukuta PWSS,8063300,7176500,797400,288,5433,32214,
RETROFITTING OF ABHOYPURIA WSS,3012800,2711500,301300,234,7709,32692,
RETROFITTING OF ABONG W/S/S,6639000,5975100,663900,314,2840,22833,5453754
RETROFITTING OF ABONGCHERRA W/S/SCHEME,6724500,6052000,672400,111,1421,22834,
RETROFITTING OF ACHALAPATHER WSS,3754100,3376000,378000,320,7705,32470,
Retrofitting of ADABARI PWSS,2322000,1985300,220600,28,1872,28052,8205081
RETROFITTING OF ADHAKHANDA PIPED WATER SUPPLY SCHEME,1139800,1025800,114000,145,1104,24141,
Retrofitting of Adutgaon PWSS,0,0,0,519,2626,33032,
RETROFITTING OF AFLAGAON PWSS,665000,598500,66500,161,1849,29851,
RETROFITTING OF AFRAKHAT GOPCHAR PIPED WATER SUPPLY SCHEME,638900,575000,63900,197,872,30834,
Retrofitting of Ahkhoiphutia PWSS,2314000,2082600,231400,83,2623,31764,6201621
Retrofitting of Ahomgaon PWSS,4486400,4052700,450300,530,1956,28041,8171382
Retrofitting of Aibheti PWSS,4947400,4452600,494700,798,5928,30795,8216344
RETROFITTING OF ALAGDIA PWSS,5201800,4681600,520200,168,6143,29901,6911038
RETROFITTING OF ALEXJHAR PWSS,1330000,1197000,133000,152,4401,31787,
RETROFITTING OF ALGAPUR W/S/SCHEME,841700,757500,84200,341,1427,19648,
Retrofitting of Alimur Chapori PWSS,2804000,2523600,280400,177,2427,32925,
Retrofitting of Alisinga PWSS,236000,201800,22400,0,5268,28092,8187323
RETROFITTING OF ALTA PWSS,9750800,8775700,975100,338,4392,32461,
RETROFITTING OF ALUPARA PIPED WATER SUPPLY SCHEME,637500,545000,60600,102,5912,32476,
RETROFITTING OF AMONI PT-II PWSS,2650000,2265800,251800,0,2782,30316,
Retrofitting of Amoni PWSS,3360000,2872800,319200,34,2074,28050,8205303
Retrofitting of Amonisal PWSS,3720200,3180800,353400,225,5567,19550,5600660
Retrofitting of Amtola PWSS,9293100,8205400,911700,334,6630,32199,
RETROFITTING OF ANANDAPUR W/S/S,7640900,6876800,764100,186,9158,23488,8235298
RETROFITTING OF ANDHARIRPAR W/S/S,400000,342000,38000,100,1430,19768,
RETROFITTING OF ANOWARPAR W/S/S,4735800,4262300,473600,204,1434,22835,8148271
Retrofitting of ARARA PWSS,5681000,4857300,539700,0,2088,28063,8202406
RETROFITTING OF ARDAVALLIC W/S/S,4650300,4185300,465000,133,5693,22525,8220725
RETROFITTING OF ATHALKANDI W/S/S,27700,25000,2800,71,9169,23385,
RETROFITTING OF ATHARA PWSS,1546600,1391900,154700,411,1935,29772,8174874
Retrofitting of Auniati Satra Barbari PWSS,990700,891700,99100,72,6636,25672,6530842
Retrofitting of Auniati Satra PWSS,4086900,3678200,408700,270,8122,31841,
RETROFITTING OF BABRIKHAT PWSS,213800,192400,21400,77,2327,32535,
Retrofitting of Badalgaon PWSS,5121600,4616100,512900,154,2336,29372,8174124
RETROFITTING OF BADARPUR (BORKHOLA) W/S/S,4750000,4275000,475000,432,5828,27187,
Retrofitting of Bagalajan PWSS,10600100,9540100,1060000,448,5088,32215,
Retrofitting of Bagariguri (Raha) PWSS,3091100,2811000,312300,245,8380,19553,8232143
RETROFITTING OF BAGMARA W/S/S,384300,345800,38400,92,7412,27188,8222007
RETROFITTING OF BAGURIHATI PWSS,581000,496800,55200,0,2778,30299,
RETROFITTING OF BAHBARI GAON PIPED WATER SUPPLY SCHEME,1567800,1411000,156800,185,734,31094,
Retrofitting of Bahbera PWSS,450000,384800,42800,0,4519,28096,8215261
RETROFITTING OF BAHGARH WSS,3565200,3208700,356500,506,7702,32481,
RETROFITTING OF BAIDYATOLA PWSS,1413100,1271800,141300,208,6156,29898,
RETROFITTING OF BAIKAM MIKIR PUNJEE GR. W/S/S,2280000,2052000,228000,37,9182,23487,
RETROFITTING OF BAIKUNTAPUR GRANT W/S/S,1085000,976400,108500,298,7327,27189,
Retrofitting of Bakulguri PWSS,791000,711900,79100,230,3025,31018,8198598
RETROFITTING OF BALABARI PWSS,3515000,3163500,351500,189,6160,31230,
RETROFITTING OF BALACHERRA GRANT  W/S/S,2565000,2308500,256500,224,1438,19770,
RETROFITTING OF BALACHERRA W/S/S,4650300,4185300,465000,131,1443,22836,8148318
RETROFITTING OF BALAGAON PWSS,689800,620800,69000,216,2593,29751,
RETROFITTING OF BALESWAR GRANT  W/S/S,4509000,4058100,450900,375,1445,19773,8219146
RETROFITTING OF BALIJAN MAZDUR PIPED WATER SUPPLY SCHEME,5085400,4576800,508500,26,5923,30588,
Retrofitting of Balijuri PWSS,3739800,3366000,374000,168,2524,19907,8171428
Retrofitting of Balisiha PWSS,290000,248000,27600,0,1266,28100,8132805
RETROFITTING OF BALIZAR PWSS,1877000,1604800,178300,0,5896,30324,
RETROFITTING OF BAMGAON PIPED WATER SUPPLY SCHEME,1387000,1248300,138700,127,833,23899,
RETROFITTING OF BAMUNGAON PWSS,566000,509400,56600,215,2461,31799,8187852
Retrofitting of Bamuni PWSS,4080800,3672800,408100,211,6650,23865,8238787
Retrofitting of Bamunpukhuri PWSS,356000,304400,33800,0,944,28104,8188715
RETROFITTING OF BANDERI PWSS ,757900,720000,80000,104,7582,32033,
RETROFITTING OF BANGAON ZONE-I PWSS,5100000,4360500,484500,0,2090,29353,
RETROFITTING OF BANGLABARI BAGICHA PWSS,562300,506100,56200,187,2617,32157,
RETROFITTING OF BANGLAGHAT W/S/S,5700200,5130200,570000,495,3540,22837,
RETROFITTING OF BANGLATILLAH,337100,303400,33700,236,7413,29231,8223631
RETROFITTING OF BANNAGURI PWSS,3693600,3324200,369400,155,8618,32054,
RETROFITTING OF BANSENG WATER SUPPLY SCHEME ,3507000,3156300,350700,105,2756,31174,8208649
Retrofitting of Bantow Pather PWSS,316300,284700,31600,390,2991,31838,
Retrofitting of Bantow PWSS,727000,654300,72700,471,4375,33078,8234788
RETROFITTING OF BANTUNG LAHON,5362100,4825900,536200,200,7379,32018,
Retrofitting of Baramabil PWSS,1260000,1154300,128300,579,5930,19627,8215019
Retrofitting of Barbalitup PWSS,6162100,5545900,616200,640,6579,29541,
RETROFITTING OF BARBARI KALITAPARA PWSS,946400,899100,99900,80,7568,32032,
RETROFITTING OF BARDANGERIKUCHI PWSS,4296900,3867200,429700,233,3418,29610,8224652
RETROFITTING OF BARDOITOLA PWSS,4522000,4069800,452200,284,1668,29988,8182032
RETROFITTING OF BARDOL PWSS,2536500,2282900,253700,272,4586,31235,
RETROFITTING OF BAREGAON NO.1 PWSS,1576200,1418600,157600,454,6161,31350,
RETROFITTING OF BARHAZARA PWSS,2870000,2583000,287000,202,6162,32715,
Retrofitting of BARHELOCHA PWSS,2190000,1872500,208100,0,2079,28070,
RETROFITTING OF BARKOTHIABARI PIPED WATER SUPPLY SCHEME,1754400,1579000,175400,391,1113,28234,
RETROFITTING OF BARKUKURIA PWSS,2907200,2616500,290700,140,6167,32574,
RETROFITTING OF BARNARDDI PWSS,6300000,5386500,598500,0,2127,30365,
RETROFITTING OF BARNIBARI PWSS,3033000,2593200,288100,0,2122,29340,
RETROFITTING OF BARPUKHURI PIPED WATER SUPPLY SCHEME,3228500,2905600,322800,273,849,27687,
